Co_Name,BSE Code,Stock Exchange,Shareholding Date[201612],Grand Total[201612],Market Cap[Latest]
Guj Pipavav Port,533248,Mumbai,31/12/2016,483439910,7251.6
Guj.St.Petronet,532702,Mumbai,31/12/2016,563517441,8897.94
Gulf Oil Lubric.,538567,Mumbai,31/12/2016,49614542,3366.35
GVK Power Infra.,532708,Mumbai,31/12/2016,1579210400,1002.79
H D F C,500010,Mumbai,31/12/2016,1585088925,221508.25
H D I L,532873,Mumbai,31/12/2016,434003986,2836.22
H F C L,500183,Mumbai,31/12/2016,1239377194,1797.13
H P C L,500104,Mumbai,31/12/2016,1015881750,55248.73
H T Media,532662,Mumbai,31/12/2016,232748314,1929.48
Hathway Cable,533162,Mumbai,31/12/2016,830494500,2989.78
Havells India,517354,Mumbai,31/12/2016,624855342,26318.91
HCL Infosystems,500179,Mumbai,31/12/2016,222919629,1285.13
HCL Technologies,532281,Mumbai,31/12/2016,1411197994,117235.27
HDFC Bank,500180,Mumbai,31/12/2016,2555374117,335403.68
HEG,509631,Mumbai,31/12/2016,39959142,743.66
Heritage Foods,519552,Mumbai,31/12/2016,23199000,2471.84
Hero Motocorp,500182,Mumbai,31/12/2016,199691464,64180.84
Hexaware Tech.,532129,Mumbai,31/12/2016,302028195,5897.1
Himatsing. Seide,514043,Mumbai,31/12/2016,98457160,3611.02
Hind. Unilever,500696,Mumbai,31/12/2016,2164274684,183909.24
Hind.Construct.,500185,Mumbai,31/12/2016,779158906,4199.47
Hind.Copper,513599,Mumbai,31/12/2016,925218000,6240.61
Hind.Zinc,500188,Mumbai,31/12/2016,4225319000,135991.89
Hindalco Inds.,500440,Mumbai,31/12/2016,2066145292,39618.34
Honeywell Auto,517174,Mumbai,31/12/2016,8841523,8449.45
HSIL,500187,Mumbai,31/12/2016,72296395,2055.03
I O B,532388,Mumbai,31/12/2016,2454728928,6922.34
I O C L,530965,Mumbai,31/12/2016,4855904964,188093.48
ICICI Bank,532174,Mumbai,31/12/2016,5820605280,163896.6
ICRA,532835,Mumbai,31/12/2016,10000000,4106.6
IDBI Bank,500116,Mumbai,31/12/2016,2058815081,17530.81
Idea Cellular,532822,Mumbai,31/12/2016,3601689265,39420.49
IFCI,500106,Mumbai,31/12/2016,1662037235,5276.98
IIFL Holdings,532636,Mumbai,31/12/2016,317587853,10088.47
IL&FS Engg.,532907,Mumbai,31/12/2016,121158671,638.51
