Co_Name,NSE_Symbol,Date,Close Price,Year & Month[Latest],Grand Total[Latest]
Kokuyo Camlin,KOKUYOCMLN,28/11/2016,81.5,201609,100303806
The Hi-Tech Gear,HITECHGEAR,28/11/2016,304.7,201609,18768000
India Glycols,INDIAGLYCO,28/11/2016,125.25,201609,30961500
Huhtamaki PPL,PAPERPROD,28/11/2016,250.15,201609,72711934
Pennar Inds.,PENIND,28/11/2016,41.85,201609,120349514
Subros,SUBROS,28/11/2016,165.15,201609,59988600
Jain Irrigation,JISLJALEQS,28/11/2016,89.85,201609,460166053
Guj Fluorochem,GUJFLUORO,28/11/2016,487.4,201609,109850000
Kajaria Ceramics,KAJARIACER,28/11/2016,519.35,201609,79469000
Honeywell Auto,HONAUT,28/11/2016,8518.15,201609,8841523
Sarda Energy,SARDAEN,28/11/2016,236.35,201609,35978319
Esab India,ESABINDIA,28/11/2016,573.75,201609,15393020
Jamna Auto Inds.,JAMNAAUTO,28/11/2016,180.5,201609,79636376
Jay Bharat Mar.,JAYBARMARU,28/11/2016,279.15,201609,21650000
Monsanto India,MONSANTO,28/11/2016,2270.75,201609,17262748
Value Industries,VALUEIND,28/11/2016,12.05,201609,39185675
Shrenuj & Co.,SHRENUJ,28/11/2016,2.7,201609,192907258
Nahar Indl. Ent.,NAHARINDUS,28/11/2016,92,201609,39835142
H F C L,HFCL,28/11/2016,13,201609,1239377194
Oil Country,OILCOUNTUB,28/11/2016,32.25,201609,44289530
Jyoti Structures,JYOTISTRUC,28/11/2016,11.2,201609,109527710
Eurotex Inds.,EUROTEXIND,28/11/2016,28.85,201609,8749865
Bhansali Engg.,BEPL,28/11/2016,22.85,201609,165905640
Pearl Polymers,PEARLPOLY,28/11/2016,20.55,201609,16834932
Chemfab Alkalis,CHEMFALKAL,28/11/2016,281.75,201609,9171697
Indo Rama Synth.,INDORAMA,28/11/2016,29.65,201609,151822242
Can Fin Homes,CANFINHOME,28/11/2016,1527.65,201609,26620242
Vinyl Chemicals,VINYLINDIA,28/11/2016,60.8,201609,18337111
Dharani Sugars,DHARSUGAR,28/11/2016,31.45,201610,33200000
Kabra Extrusion,KABRAEXTRU,28/11/2016,115.45,201609,31902320
Venky's (India),VENKEYS,28/11/2016,448.25,201609,14087336
Finolex Inds.,FINPIPE,28/11/2016,422.8,201609,124095381
Albert David,ALBERTDAVD,28/11/2016,366.3,201609,5707162
Amtek Auto,AMTEKAUTO,28/11/2016,40.85,201609,224755428
Shiva Texyarn,SHIVTEX,28/11/2016,225.4,201609,21604521
Ansal Housing,ANSALHSG,28/11/2016,18.3,201609,59385828
Hind Syntex,HINDSYNTEX,28/11/2016,9.85,201609,12718600
Jindal Drilling,JINDRILL,28/11/2016,162.5,201609,28981104
Moser Baer (I),MOSERBAER,28/11/2016,6.65,201609,221765983
Omax Autos,OMAXAUTO,28/11/2016,73.9,201609,21388213
Patel Engg.,PATELENG,28/11/2016,72.1,201609,76806282
PTL Enterprises,PTL,28/11/2016,121.65,201609,66188500
Steel Str. Wheel,SSWL,28/11/2016,528.4,201609,15533520
Swaraj Engines,SWARAJENG,28/11/2016,1314.85,201609,12419820
Weizmann,WEIZMANIND,28/11/2016,29.55,201609,17271536
Man Inds.,MANINDS,28/11/2016,45.35,201609,57103055
St Bk of India,SBIN,28/11/2016,253.55,201609,7762777042
Autolite (I),AUTOLITIND,28/11/2016,49.7,201609,10581241
Shreyans Inds.,SHREYANIND,28/11/2016,110.05,201609,13824550
Rajshree Sugars,RAJSREESUG,28/11/2016,59,201609,28166700
Ruby Mills,RUBYMILLS,28/11/2016,342.9,201609,16720000
Advani Hotels.,ADVANIHOTR,28/11/2016,49.55,201609,46219250
Hind Rectifiers,HIRECT,28/11/2016,88.15,201609,15057930
Uflex,UFLEX,28/11/2016,285.65,201609,72211486
Ucal Fuel Sys.,UCALFUEL,28/11/2016,179.6,201609,22113625
Spice Mobility,SPICEMOBI,28/11/2016,14.45,201609,227863982
Vadilal Inds.,VADILALIND,28/11/2016,510.05,201609,7187830
Anant Raj,ANANTRAJ,28/11/2016,38.1,201609,295096335
Harita Seating,HARITASEAT,28/11/2016,682.9,201609,7769040
Jai Corp,JAICORPLTD,28/11/2016,58.5,201609,178449410
Sical Logistics,SICAL,28/11/2016,201.75,201609,55601694
Sujana Univ. Ind,SUJANAUNI,28/11/2016,1.8,201609,168841072
Navneet Educat.,NAVNETEDUL,28/11/2016,107.1,201609,238215000
Superhouse Ltd,SUPERHOUSE,28/11/2016,138.25,201609,11025000
IL&FS Inv.Manag.,IVC,28/11/2016,14.4,201609,314032740
Hind.Oil Explor.,HINDOILEXP,28/11/2016,59.15,201609,130493289
PAE,PAEL,28/11/2016,10.55,201609,10419600
Century Extrus.,CENTEXT,28/11/2016,6.7,201609,80000000
Godrej Inds.,GODREJIND,28/11/2016,367.25,201609,336139786
Shriram Trans.,SRTRANSFIN,28/11/2016,928,201609,226882736
T T,TTL,28/11/2016,42.4,201609,21498050
Dhanuka Agritech,DHANUKA,28/11/2016,711.45,201609,50019500
Kirl. Electric,KECL,28/11/2016,44.6,201609,66414071
Manali Petrochem,MANALIPETC,28/11/2016,35.5,201609,171999229
GRP,GRPLTD,28/11/2016,1425,201609,1333333
Dewan Hsg. Fin.,DHFL,28/11/2016,241.05,201609,313028058
AVT Natural Prod,AVTNPL,28/11/2016,30.25,201609,152284000
Ginni Filaments,GINNIFILA,28/11/2016,20.25,201609,70650065
Kakatiya Cement,KAKATCEM,28/11/2016,249.35,201609,7773858
Reliance Capital,RELCAPITAL,28/11/2016,427.7,201609,252632800
Thiru Aroor. Su.,THIRUSUGAR,28/11/2016,53.95,201609,11316724
Salzer Electron.,SALZERELEC,28/11/2016,183.55,201609,13889687
Sterling Biotech,STERLINBIO,28/11/2016,3.5,201609,272170388
Precot Meridian,PRECOT,28/11/2016,71.95,201609,12000000
Super Spinning,SUPERSPIN,28/11/2016,12.9,201609,55000000
India Nipp.Elec.,INDNIPPON,28/11/2016,523.7,201609,11310712
Pricol,PRICOL,28/11/2016,84.45,201609,94796721
Rolta India,ROLTA,28/11/2016,55.1,201609,163303923
Ramco Inds.,RAMCOIND,28/11/2016,191.85,201609,86663060
L G Balakrishnan,LGBBROSLTD,28/11/2016,584.75,201609,15696208
United Nilgiri,UNITEDTEA,28/11/2016,312.5,201609,4996566
India Motor Part,IMPAL,28/11/2016,747.4,201609,8319575
